joint1,joint2,joint3,joint4,joint5,joint6
-2.1171652593904022e-13,-0.5235987666667024,2.094395066666684,-2.627556446441446e-14,-1.5707963000000353,-2.5408740732601723e-13
-2.1382883914271988e-13,-0.5235987666667026,2.094395066666684,-2.6537159578922214e-14,-1.5707963000000356,-2.5662180855769684e-13
-2.1594112148365482e-13,-0.5235987666667028,2.094395066666684,-2.6799268548317695e-14,-1.5707963000000358,-2.5915635646915207e-13
-2.1805341427524656e-13,-0.523598766666703,2.094395066666684,-2.7061156983753845e-14,-1.570796300000036,-2.616910338018546e-13
-2.201657101123479e-13,-0.5235987666667032,2.094395066666684,-2.732289052065155e-14,-1.5707963000000362,-2.642256554944714e-13
-2.2227802276450245e-13,-0.5235987666667035,2.094395066666684,-2.7584918005224653e-14,-1.5707963000000364,-2.6676023963507534e-13
-2.2439033967309592e-13,-0.5235987666667037,2.094395066666684,-2.7846876135873488e-14,-1.5707963000000367,-2.6929484009723214e-13
-2.2650267153360776e-13,-0.5235987666667039,2.094395066666684,-2.8108767136296198e-14,-1.570796300000037,-2.718293387033282e-13
-2.286150260009492e-13,-0.5235987666667041,2.094395066666684,-2.8370598427858165e-14,-1.5707963000000371,-2.743637435827153e-13
-2.3072736936583093e-13,-0.5235987666667044,2.094395066666684,-2.863232059823632e-14,-1.5707963000000373,-2.7689817114450775e-13
-2.328397212145281e-13,-0.5235987666667046,2.094395066666684,-2.889427322919116e-14,-1.5707963000000376,-2.794325455789525e-13
-2.3495207944128625e-13,-0.5235987666667048,2.094395066666684,-2.915608250444903e-14,-1.5707963000000378,-2.819668583133204e-13
-2.370644470626068e-13,-0.523598766666705,2.094395066666684,-2.9417727789997567e-14,-1.570796300000038,-2.845012014959928e-13
-2.3917680110279015e-13,-0.5235987666667052,2.094395066666684,-2.967938846712432e-14,-1.5707963000000382,-2.8703564186380805e-13
-2.412891776074711e-13,-0.5235987666667054,2.094395066666684,-2.994089473480302e-14,-1.5707963000000384,-2.8957004550629793e-13
-2.4340152992602047e-13,-0.5235987666667055,2.094395066666684,-3.0202454957817626e-14,-1.5707963000000387,-2.9210445840199527e-13
-2.455138792642781e-13,-0.5235987666667056,2.094395066666684,-3.0463960848413174e-14,-1.570796300000039,-2.946388798796158e-13
-2.4762622628737285e-13,-0.5235987666667057,2.094395066666684,-3.072541662768355e-14,-1.5707963000000391,-2.9717331886440667e-13
-2.497385802044403e-13,-0.5235987666667058,2.094395066666684,-3.098700185733502e-14,-1.5707963000000393,-2.997077142545515e-13
-2.5185093074242106e-13,-0.5235987666667059,2.094395066666684,-3.124857918776173e-14,-1.5707963000000396,-3.0224211852682203e-13
-2.5396327898825206e-13,-0.523598766666706,2.094395066666684,-3.151027957648188e-14,-1.5707963000000398,-3.0477652423617126e-13
-2.560756234888594e-13,-0.5235987666667061,2.094395066666684,-3.177194492658272e-14,-1.57079630000004,-3.0731104451948383e-13
-2.5818796218780785e-13,-0.5235987666667062,2.094395066666684,-3.2033423611922275e-14,-1.5707963000000402,-3.0984566781433525e-13
-2.6030030918040045e-13,-0.5235987666667064,2.094395066666684,-3.2294739825328764e-14,-1.5707963000000404,-3.123802422223748e-13
-2.6241265002085163e-13,-0.5235987666667065,2.094395066666684,-3.255642090431921e-14,-1.5707963000000407,-3.149148127407718e-13
-2.6452497297478475e-13,-0.5235987666667066,2.094395066666684,-3.281786336294601e-14,-1.570796300000041,-3.174494860167823e-13
-2.6663729310154297e-13,-0.5235987666667067,2.094395066666684,-3.307940791319083e-14,-1.5707963000000411,-3.199841632563337e-13
-2.687496114048687e-13,-0.5235987666667068,2.094395066666684,-3.3341285687730864e-14,-1.5707963000000413,-3.2251883754151146e-13
-2.708619282765669e-13,-0.5235987666667069,2.094395066666684,-3.3602854306958186e-14,-1.5707963000000416,-3.25053508606609e-13
-2.729742532691953e-13,-0.523598766666707,2.094395066666684,-3.386477543987197e-14,-1.5707963000000418,-3.275883041492328e-13
-2.7508657605062084e-13,-0.5235987666667071,2.094395066666684,-3.412666794984677e-14,-1.570796300000042,-3.301230832114861e-13
-2.7719889672462543e-13,-0.5235987666667072,2.094395066666684,-3.438864890516607e-14,-1.5707963000000422,-3.3265796221176734e-13
-2.7931121165037584e-13,-0.5235987666667073,2.094395066666684,-3.465054668874411e-14,-1.5707963000000424,-3.351928454891573e-13
